,Tech Source,Tech Relation,API Source,Source Type,Source Name,Title,Source Description,Publish Date
0,Technology,child development,Bing News API,NewsArticle,Benzinga.com,Dr. Isha Farha Quraishy launches a global mission to make education accessible for every child on the planet.,"Dr. Isha Farha Quraishy is a leading Education Technology Expert working in line with United Nations Sustainable Development Goals. Ambassador for Diplomatic Mission for Global Peace, Dr. Isha Farha Quraishy,",2023-01-30T11:21:00.0000000Z
1,Technology,child development,Bing News API,NewsArticle,MarketWatch,Child Day Care Services Market Size in New Technology Sector is Growing Quickly with Analysis by Top Key players till 2028,Global Child Day Care Services Market New Research Report 2023|The Child Day Care Services Market Size is Segmented,2023-01-30T10:35:00.0000000Z
2,Technology,child development,Bing News API,NewsArticle,KMA Land,Stanton Technology Park plat passed by supervisors,"At its regular meeting Tuesday morning, the Montgomery County Board of Supervisors approved the first reading of an ordinance amendment setting the plat for the proposed Stanton Technology Park subdivision.",2023-01-31T16:30:00.0000000Z
3,Technology,child development,Bing News API,NewsArticle,TheCable,Getting one hundred million people out of multidimensional poverty from a technology wWorldview,"Poverty affects over 700 million people worldwide and is an issue that needs to be addressed. One of the most promising ways to reduce poverty is through a tech connect,",2023-01-31T08:29:00.0000000Z
4,Technology,child development,Bing News API,NewsArticle,EdTech,"FETC 2023: As Technology Impacts Trillions of People, It Must Be Inclusive","Author, CEO and arithmetician Anne-Marie Imafidon highlighted the importance of embracing curiosity, transparency and arts in the classroom.",2023-01-27T21:06:00.0000000Z
5,Technology,child development,Bing News API,NewsArticle,The Independent,How to stop technology harming your child’s mental health,While technology (used wisely and with limits ... perhaps you can find another time to prioritise non-screen socialising with your child. Offline together time is not about healthy boundaries ...,2023-01-24T17:40:00.0000000Z
6,Technology,child development,Bing News API,NewsArticle,Business News Daily,How to Encourage Employees to Pursue Professional Development,"As the worldwide business landscape evolves, responding to the whims of technology and increased competition, so does the importance of professional development programs. Designed to arm employees ...",2023-01-23T00:00:00.0000000Z
7,Technology,child development,Bing News API,NewsArticle,Phys.org,Technology and sustainable development: A hamlet in rural South Africa shows how one can power the other,"""Over 70% of the 136 SDG targets could be enabled by technology applications already in deployment."" To be achieved, both ideas—sustainable development and the fourth industrial revolution ...",2023-01-18T21:18:00.0000000Z
8,Technology,child development,Bing News API,NewsArticle,New Vision on MSN.com,"Pay attention to your child, Dr Kitaka tells parents","The first ever New Vision Education Expo ended on a high on Sunday with one of the training sessions on early childhood development and education.The three-day expo got under way on Friday at the Uganda Institute of Information and Communications Technology in Nakawa,",2023-01-31T00:00:00.0000000Z
9,Technology,teen impact,Bing News API,NewsArticle,Forbes,Teen Entrepreneurs - How ChatGPT Is Changing Their Education And How They Do Business,"It’s not hard to see how ChatGPT could be used by students, and why some teachers and school administrators are scrambling to catch cheating.",2023-01-31T18:59:00.0000000Z
10,Technology,teen impact,Bing News API,NewsArticle,Inverse on MSN.com,"8 Years Later, Square Enix's Supernatural Teen Drama Remains Timeless",Square Enix's supernatural exploration of identity and choice in high school still feels relevant almost a decade later.,2023-01-31T18:30:14.0000000Z
11,Technology,teen impact,Bing News API,NewsArticle,News 12 Networks,Local teen’s nonprofit helps feed thousands in NYC and Israel,"Steven Hoffen is just 14 years old, but the founder of Growing Peace Inc. has done so much important work to aid vulnerable communities.",2023-01-31T06:33:00.0000000Z
12,Technology,teen impact,Bing News API,NewsArticle,Cornwall Live on MSN.com,Cornwall teen quits social media with powerful message to Gen Z,"A teenager addicted to endless scrolling on social media believes his health and life dramatically improved after going on a digital detox. Ilias Michael, 17, a podcast producer, said he became an online 'addict' especially out of boredom during the Covid pandemic lockdowns.",2023-01-28T11:14:48.0000000Z
13,Technology,teen impact,Bing News API,NewsArticle,health enews,How does puberty impact sleep?,Puberty impacts sleep by changing the teen's sleep and wake cycle which can make waking up and falling asleep difficult.,2023-01-26T21:28:00.0000000Z
14,Technology,teen impact,Bing News API,NewsArticle,Forbes,Exploring The Future Of Government Technology And Its Global Impact,"If corporations are the lungs, technology is its oxygen. Technology is already helping organizations improve their productivity, but using it to enhance government functions could be the next step ...",2023-01-24T14:24:00.0000000Z
15,Technology,teen impact,Bing News API,NewsArticle,Nasdaq,Crypto Technology’s Impact Goes Beyond Crypto Technology,"of 2022, many of us glass-half-full types have been welcoming the opportunity to focus less on market moves and more on the impact that the continued development of crypto technology can have on ...",2023-01-18T22:08:00.0000000Z
16,Technology,teen impact,Bing News API,NewsArticle,The Times of Israel,"In first, cabinet okays sealing home of teen Jerusalem terrorist",The government voted Sunday in favor of sealing off the home of a 13-year-old Palestinian from East Jerusalem who wounded two in a terror shooting on Saturday. Sunday’s weekly cabinet meeting followed a deadly weekend in the capital that saw seven Israelis killed and several others injured in two separate terror attacks.,2023-01-29T16:55:00.0000000Z
17,Technology,mental health,Bing News API,NewsArticle,D Magazine,Staff Retention and Mental Health Are Shaping the Future of Hospital Design,"Various factors catalyze these changes: staff shortages due to retirements, improved technology, and increased awareness and need for mental health services. Healthcare has long been battling a talent shortage that is not likely to improve any time soon ...",2023-01-30T18:00:00.0000000Z
