Tech Source,Tech Relation,API Source,Source Type,Source Name,Title,Source Description,Label,Publish Date
Technology,child development,Bing News API,NewsArticle,TheCable,Getting one hundred million people out of multidimensional poverty from a technology wWorldview,"Poverty affects over 700 million people worldwide and is an issue that needs to be addressed. One of the most promising ways to reduce poverty is through a tech connect,",In Society,2023-01-31T08:29:00.0000000Z
Technology,teen impact,Bing News API,NewsArticle,Forbes,Teen Entrepreneurs - How ChatGPT Is Changing Their Education And How They Do Business,"It’s not hard to see how ChatGPT could be used by students, and why some teachers and school administrators are scrambling to catch cheating.",Education,2023-01-31T18:59:00.0000000Z
Technology,mental health,Bing News API,NewsArticle,The Independent,How to stop technology harming your child’s mental health,"Here are some of the top tips I’ve developed as a mental health professional, to set healthy boundaries for children when it comes to technology: First of all, be kind to yourself. As parents ...",In Society,2023-01-24T17:40:00.0000000Z
Technology,parenting impact,Bing News API,NewsArticle,KFOR-TV Oklahoma City on MSN.com,"With ChatGPT rising in popularity, what's a parent to do?","The new AI technology has become so popular that some schools have banned it as it makes its way into the lives of K-12 and college students around the U.S. It has made headlines for its humanlike and unique responses to questions,",Education,2023-01-29T16:13:18.0000000Z
Technology,parenting impact,Bing News API,NewsArticle,goodmorningwilton,Wilton Youth Council Presents Two Age-Based Webinars for Parenting in a Digital World,"Wilton Youth Council will be welcoming back Diana Graber, author and recognized expert on technology’s impact on human behavior, for two age-based, instructive and enlightening webinars on parenting in a",Parenting,2023-01-31T11:21:00.0000000Z
Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,Campus Safety Magazine,This K-12 Cybersecurity Resource Offers Useful Guidance for School IT Professionals,The U.S. Cybersecurity & Infrastructure Security Agency has released a report to help keep K-12 organizations secure.,Education,2023-01-26T16:08:00.0000000Z
Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,Nextgov,CISA Releases Guide to Help Safeguard K-12 Schools from Cyber Threats,"CISA’s report, which was mandated by the K-12 Cybersecurity Act of 2021, outlined a variety of steps that primary and secondary schools can take to bolster their cyber defenses.",Education,2023-01-24T20:52:00.0000000Z
Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,MarketWatch,K-12 Online Education Service Market Will Touch New Level In Upcoming Year | 104 Report Pages,"Jan 30, 2023 (The Expresswire) -- K-12 Online Education Service Market 2023 with 104 Pages Report ... quality and modernism in technology. In order to better understand Market condition five forces analysis is conducted that includes Bargaining power ...",Education,2023-01-31T01:05:00.0000000Z
Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,Homeland Security Today,CISA Releases Report for K-12 Schools to Help Address Evolving Cybersecurity Threats,"CISA provides three recommendations in the report to help K-12 leaders build, operate, and maintain resilient cybersecurity programs.",Education,2023-01-24T19:36:00.0000000Z
Video Games,child development,Bing News API,NewsArticle,MSN,Why Playing Video Games with Your Kids Can Be Good for Them,"Finally, playing video games with your child can also be a great way to ... still engaging in other important activities for their development. Another way to prevent video game addiction is ...",In Society,2023-01-23T03:43:00.0000000Z
Video Games,teen impact,Bing News API,NewsArticle,Frenz Hub on MSN.com,Virtual Heartbreak: The Trauma of Falling in Love with Video Game Characters,"Players often develop intense relationships with virtual characters. If those relationships go awry, the results can lead to real-world trauma.",Mental Health,2023-01-22T13:48:11.0000000Z
Video Games,teen impact,Bing News API,NewsArticle,UUHC Health Feed,The Impact of Social Media on Teens’ Mental Health,"And among males aged 15-24, the number of suicides rose by 30 percent over that same time period. Almost every teen now has an account on at least one social media platform. They use social media to reach out to friends, share experiences, and tell the ...",Mental Health,2023-01-20T10:01:00.0000000Z
Video Games,mental health,Bing News API,NewsArticle,The Mirror,'Heavy gaming is not linked to mental health issues in the majority of teenagers',Dr Miriam Stoppard shares reassuring results from Oxford University that suggest spending hours gaming each day does not lead to wellbeing and anxiety problems. But teens who already have mental healt,Mental Health,2023-01-30T18:02:00.0000000Z
