Tech Source,Tech Relation,API Source,Source Name,Title,Author,Label,Source Description,Source Content,Publish Date
technology,children,NewsAPI,Slashdot.org,FBI Probes Snapchat's Role In Fentanyl Poisoning Deaths,BeauHD,In Society,Federal agencies are questioning Snapchat's role in the spread and sale of fentanyl-laced pills in the United States as part of a broader probe into the deadly counterfeit drugs crisis. The Los Angeles Times reports: FBI agents and Justice Department attorney…,FBI agents and Justice Department attorneys are zeroing in on fentanyl poisoning cases where the sales were arranged to young buyers via Snapchat [...]. The agents have interviewed parents of childre… [+2449 chars],2023-01-26T01:00:00Z
technology,children,NewsAPI,Slashdot.org,Member of Congress Reads AI-Generated Speech On House Floor,BeauHD,Education,"U.S. Rep. Jake Auchincloss read a speech on the floor of the U.S. House that was generated by AI chatbot ChatGPT. ""Auchincloss said he prompted the system in part to 'write 100 words to deliver on the floor of the House of Representatives' about the legislati…","The bill, which Auchincloss is refiling, would establish a joint U.S.-Israel AI Center in the United States to serve as a hub for AI research and development in the public, private and education sect… [+1362 chars]",2023-01-27T00:45:00Z
technology,children,NewsAPI,KATC Lafayette News,Boys and Girls Club receives high tech donation from Cox Communications - KATC News,KATC NEWS,In Society,Cox Communications and the Boys and Girls Club have teamed up to bring technology to the forefront for children.,"Cox Communications and the Boys and Girls Club have teamed up to bring technology to the forefront for children.
The ribbon-cutting for the high tech computer lab was held at the Jackie Club in Lafa… [+533 chars]",2023-01-25T18:54:57Z
technology,children,NewsAPI,Yahoo Entertainment,Seattle-Based Wonderland Child & Family Services Expands Services for Families in Need with Comcast Business,News Direct,In Society,"Wonderland Child & Family Services’ technology solutions help expand resources for families with children experiencing developmental delays, disabilities and...","Wonderland Child &amp; Family Services technology solutions help expand resources for families with children experiencing developmental delays, disabilities and prenatal substance exposure
Seattle, … [+4170 chars]",2023-01-19T16:05:00Z
technology,children,NewsAPI,Parents.com,How Will AI Like ChatGPT Change Education for Our Children?,Allison Slater Tate,Education,"Kids and teens are flocking to AI technology like ChatGPT, but what does that mean when it comes to schoolwork? One thing is for sure: AI is here to stay.","Kids and teens are flocking to AI technology like ChatGPT, but what does that mean when it comes to schoolwork? One thing is for sure: AI is here to stay.
The article you are about to read was writt… [+6295 chars]",2023-01-30T21:36:56Z
technology,children,NewsAPI,Independent,Elevate Prize expands to 12 winners in 2023 for strong field,Glenn Gamboa,Education,"The winners of this year’s Elevate Prize include social entrepreneurs who help Detroit children for school, build technology labs in rural Kenya, and improve road safety in India","For free real time breaking news alerts sent straight to your inbox sign up to our breaking news emails
Sign up to our free breaking news emails
The winners of this years Elevate Prize include soci… [+5576 chars]",2023-01-23T15:00:07Z
technology,children,NewsAPI,Bloomberg,Sunak Bows to Demands to Make Tech Chiefs Liable for Online Harm - Bloomberg,Kitty Donaldson,In Society,Prime Minister Rishi Sunak is set to accept the demands of party rebels to make directors at major technology firms liable to greater penalties if they fail to protect children from dangerous online content as he seeks to avoid a damaging defeat in parliament…,Prime Minister Rishi Sunak is set to accept the demands of party rebels to make directors at major technology firms liable to greater penalties if they fail to protect children from dangerous online … [+349 chars],2023-01-16T23:04:53Z
technology,children,NewsAPI,Yellowscene.com,High-Tech vs High-Touch: The Modern Balancing Act Between ... - Yellow Scene,Jennifer Sala,In Society,"Technology is a game-changing development in many ways, but touch is the core essence of human interaction. Both are important aspects of the modern educational and professional worlds. We’re depriving ourselves, and more importantly our children, of vital in…","Were all conflicted. We love our tech, do we not? But we also love personal and tactile physical experiences. For many of us, we have a little twinge in the back of our minds that tech extremism will… [+16233 chars]",2023-01-03T01:07:17Z
technology,children,NewsAPI,Daily Mail,Brooklyn Beckham's fans criticise his 'basic' vegan lasagne,Charlotte Dean,Education,Brooklyn Beckham has been accused of making a recipe that school children would learn in their food technology lessons as he served up his latest cooking flop.,"Brooklyn Beckham has been accused of making a recipe that school children would learn in their food technology lessons as he served up his latest cooking flop.
The budding chef, 23, has been trying … [+7304 chars]",2023-01-26T09:14:17Z
technology,children,NewsAPI,Thisisgoingtobebig.com,NYC Public Schools' Move to Ban ChatGPT Exposes Adults' Failures to Teach Healthy and Responsible Technology Usage,Charlie O'Donnell,Education,"Prompt: “A Cartoon Teacher being crushed by the weight of society’s problems” - Stable Diffusion 2.1

 

 
 
 
 

 
 


 




This past Tuesday, New York City's Department of Education announced a ban on the popular chatbot ChatGPT from its schools' devices…","I didnt think kids could have phones on during tests, but not having a school-aged child, I decided to look it up. I was blown away by what I found: Every single NYC public school has its own individ… [+5561 chars]",2023-01-09T02:08:00Z
