Title,Topic,Excerpt,Summary,Label
Coding with JetLearn: Empowering the next generation of tech innovators,news,"JetLearn provides personalised coding classes for children. They also offer AI, R, and robotics lessons to give your child a well-rounded tech education.","If you look around, you'll see that technology has woven its way into the fabric of our daily lives. With lightning-fast speed, it has revolutionised how humans communicate, work, and live. The future is bright and technology is definitely leading the charge.
Tech innovations have shattered the limitations of what was once thought impossible. It continues to shape our world in ways that one can only imagine; your child will have to face technology in every job opportunity they'll get in the future.",Education
Louisville's Van Lith donates $30K for kid's tech program at Family Scholar House,news,The organization said the donation of tablets will help their children connect to educational programming and will help them succeed in and out of the classroom.,"LOUISVILLE, Ky. — Louisville point guard Hailey Van Lith is giving back to the community with a donation to a local organization that helps children and families.
 
 
 
The Cardinals star donated $30,000 to the 
Family Scholar House
 that will provide 125 tablets for its children's technology program.
 
 
 
Family Scholar House said the technology will help students and children connect to educational programming and resources to help them succeed in and out of the classroom.
 
 
 
More than 50 kids participated Saturday and even received some special swag from Van Lith.",Education
Editorial: Congress finally wakes up to Big Tech's failure to protect kids,news,If any issue can bring notoriously polarized Washington together across party lines — and should — it is the need to protect America's children from such perils as those to,"I
f any issue can bring notoriously polarized Washington together across party lines — and should — it is the need to protect America's children from such perils as those to be found in abundance on the internet.
Illinois U.S. Sen. Dick Durbin, chair of the Senate Judiciary Committee, openly expressed his delight as senators from both parties came together last week in a renewed push to pass federal protections for young people online.
'I don't know if any or all of you realize what you witnessed today,' Durbin said during the session.",In Society
"Take note, lawmakers: ChatGPT could hurt kids more than drag queens or pronouns",news,Arizona legislators should pay more attention to generative AI and its impact on children and less on stoking the culture war.,"ChatGPT is being banned by schools across the country. Here's why.
Schools nationwide are banning OpenAI's ChatGPT. Here's what experts say about the future of artificial intelligence in education.
As a mom of three school-age boys, education and education policy is always top of mind in my house.
I watched closely as our public schools barely avoided a budget crisis when the Arizona House, and then the Senate, 
lifted the constitutional spending cap
 for education.
As a Chinese American, I am closely following 
Senate Bill 1557
, a bill to add 'the history and contributions of Asian American and Pacific Islanders' when state academic standards are reviewed.",Education
"Take note, lawmakers: ChatGPT could hurt kids more than drag queens or pronouns",finance,Arizona legislators should pay more attention to generative AI and its impact on children and less on stoking the culture war.,"As a mom of three school-age boys, education and education policy is always top of mind in my house.
I watched closely as our public schools barely avoided a budget crisis when the Arizona House, and then the Senate, lifted the constitutional spending cap for education.
As a Chinese American, I am closely following Senate Bill 1557, a bill to add 'the history and contributions of Asian American and Pacific Islanders' when state academic standards are reviewed.
Our legislators are also choosing to hear many bills that have less to do about education and more about stoking the culture wars over banned library books, use of school bathrooms and the policing of pronouns.",In Society
Senate Judiciary Hearing on Kid's Privacy – Sunny with a Chance of Section 230 Reform,news,"As we've described here, the Senate made major strides last year on legislation to protect children's privacy and safety online. Indeed, two...","As we've described here, the Senate made major strides last year on legislation to protect children's privacy and safety online. Indeed, two bipartisan bills sailed through a Commerce Committee markup, though they didn't ultimately make it to the floor for a Senate vote. This year, kids' privacy is once again getting attention, beginning with a February 14 Senate Judiciary Committee hearing on the issue. Members used the hearing to tout last year's bills and mention some new ones, too. They also touched on other top-of-mind issues involving the tech industry, such as Section 230 reform and encryption.",In Society
Lawmakers Should Give Parents Control Over Kids' Social Media,news,"Other states should follow in Utah's bold footsteps in taking on Big Tech, for the sake of the next generation of Americans.","Big Tech and America's parents want different things for our kids. A new report co-released last week by the Institute for Family Studies (IFS) and the Ethics and Public Policy Center (EPPC)—titled ""
Five Pro-Family Priorities for the 118th Congress and Beyond
""—makes that indisputably clear.
In a survey by YouGov of more than 2,500 American adults on a host of family policy preferences, EPPC fellow Patrick T. Brown found that 80 percent of parents support requiring parental permission before a minor opens a social media account.",In Society
Senate Judiciary Hearing On Kid's Privacy – Sunny With A Chance Of Section 230 Reform,news,"As we've described here, the Senate made major strides last year on legislation to protect children's privacy and safety online. Indeed, two bipartisan bills sailed through a Commerce Committee…","As we've described 
here
, the Senate made major strides last year on legislation to protect children's privacy and safety online. Indeed, two bipartisan bills sailed through a Commerce Committee 
markup
, though they didn't ultimately make it to the floor for a Senate vote. This year, kids' privacy is once again getting attention, beginning with a February 14 
Senate Judiciary Committee hearing
 on the issue. Members used the hearing to tout last year's bills and mention some new ones, too. They also touched on other top-of-mind issues involving the tech industry, such as Section 230 reform and encryption.",In Society
NH DCYF director urges reps to update case management system,news,"Lawmakers are considering a major technology upgrade to help the New Hampshire Division for Children, Youth and Families.","New Hampshire DCYF director urges state representatives to fund new case management system
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Copy Link
 
 
 
 
 {copyShortcut} to copy 
 
 Link copied! 
 
 


 
 
 
 
 
 
 Updated: 9:24 PM EST Feb 27, 2023 
 
 


 


 MANCHESTER. AND CONTINUE OUT INTO THE STREET. LAWMAKERS ARE CONSIDERING A MAJOR TECHNOLOGY UPGRADE TRYING TO HELP THE STATE'S DIVISION FOR CHILDREN, YOUTH AND FAMILIES. TODAY, THE D.C. WHY HAVE DIRECTOR TESTIFIED BEFORE MEMBERS TO THE HOUSE FINANCE COMMITTEE? BECAUSE THEY'RE WORKING ON THE STATE BUDGET.",In Society
Editorial: Congress finally wakes up to Big Tech's failure to protect kids,news,If any issue can bring notoriously polarized Washington together across party lines — and should — it is the need to protect America's children from such perils as those to be found in abundance on…,"If any issue can bring notoriously polarized Washington together across party lines — and should — it is the need to protect America's children from such perils as those to be found in abundance on the internet.
Illinois U.S. Sen. Dick Durbin, chair of the Senate Judiciary Committee, openly expressed his delight as senators from both parties came together last week in a renewed push to pass federal protections for young people online.
'I don't know if any or all of you realize what you witnessed today,' Durbin said during the session.",In Society
EXCLUSIVE: Senators Rally To Overhaul National Tipline For Child Sexual Abuse Material,business,Bipartisan senators Marsha Blackburn and Jon Ossoff have unveiled legislation to place more onus on social media companies when it comes to reporting illegal content of kids and teens.,"Senators Marsha Blackburn and Jon Ossoff are out to improve the process tech platforms use to flag dangerous content of children to law enforcement.
Getty Images
 


A
 pair of bipartisan senators introduced legislation today to overhaul the national tipline that social media platforms and tech companies use to flag online child exploitation and sexual abuse material to law enforcement.
 
More than 200 electronic service providers make millions of voluntary reports each year to the 'CyberTipline' managed by the National Center for Missing and Exploited Children.",In Society
Lawmakers warned about tech addiction among kids,science,"An addiction expert and author is warning House members about the detrimental effects of social media, technology and mobile devices on children and teenagers in schools across the country.","An addiction expert and author is warning House members about the detrimental effects of social media, technology and mobile devices on children and teenagers in schools across the country.
Nicholas Kardaras told lawmakers on the House Education and Employment Committee that Big Tech companies and overall screen usage on mobile phones have played a role in technology addiction among students.
It has resulted in poor mental health and in some cases, lower test scores and poor behavior, Kardaras said.",Menatal Health
Experts Answer How Gadgets Are Impacting Parent Child Relationships,world,"kids, phones, usage of phones, use of phones, tablets, lifestyle, too much screen time, excessive screen time, screen time affects relationships, gadgets, gadgets affecting parent-child relationships","In today's tech-driven world, gadgets are becoming increasingly prevalent in our lives and, as a result, are having a significant impact on parent-child relationships. Smartphones are affecting the crucial connections within families. Children of all ages have access to all sorts of electronic devices, from smart phones and tablets to gaming consoles and more.
While these devices can offer many benefits to youngsters, such as making education more accessible, allowing them to explore their interests, keeping them entertained and connected to their friends and family, they can also have a negative impact on parent-child relationships.",In Society
BARK TECHNOLOGIES AND VILO LIVING ANNOUNCE PARTNERSHIP,news,"Bark's Award-Winning Parental Controls Integrated into Vilo's Mesh Wi-Fi RoutersATLANTA, Feb. 28, 2023 /PRNewswire/ -- Bark Technologies today announced a partnership with Vilo Living, the Seattle…","Bark's Award-Winning Parental Controls Integrated into Vilo's Mesh Wi-Fi Routers
ATLANTA, Feb. 28, 2023 /PRNewswire/ -- Bark Technologies today announced a partnership with Vilo Living, the Seattle-based technology startup with a mission to make easy, affordable, and reliable Wi-Fi connectivity available to anyone through their mesh hardware and remote management solutions. This partnership will enable Vilo users to benefit from the online safety leader's parental control solutions by integrating in-home parental controls within Vilo's mesh Wi-Fi systems at no extra cost to all of Vilo's end users based in the U.",Parenting
"Young Indian kid will no more be denied their dreams because of English, says Amit Agrawal, founder of OckyPocky",news,"EduTech startups would play a crucial role in solving the problem of skill gaps at schools: Amit Agrawal, founder of OckyPocky","As we are progressing, our need and dependence on learning different languages has also increased. English is a must if you are planning to prepare for any competitive exam. To help kids achieve their dreams, Amit Agrawal, the founder of OckyPocky has launched an app that can help children learn English easily. OckyPocky offers children an easy gamified learning experience.
 
What is OckyPocky?
 
In most simple terms, OckyPocky is an interactive English learning app, focused on non-English speaking families.",Education
Vivek Murthy wants kids off social media,economics,"Surgeon General Vivek Murthy is an evangelist for wellness, hosting town halls and expounding on meditation and mindfulness on his House Calls podcast. He's particularly concerned about kids' mental health and has issued guidance for young people, suggesting they ask for help, volunteer in their communities and learn stress management techniques. In conversation with Ruth, he calls out social media as a unique threat to the rising generation, a view shared by many in Congress who are considering legislation to make it harder for kids to use the technology.","TECH MAZE

Surgeon General Vivek Murthy is an evangelist for wellness, hosting town halls and expounding on meditation and mindfulness on his House Calls podcast.

He's particularly concerned about kids' mental health and has issued guidance for young people, suggesting they ask for help, volunteer in their communities and learn stress management techniques. And he's testified before Congress about the topic.

In conversation with Ruth, he calls out social media as a unique threat to the rising generation, a view shared by many in Congress who are considering legislation to make it harder for kids to use the technology.",Menatal Health
Kids' Screen Time Rose During the Pandemic and Stayed High. That's a Problem,news,"It's too early to see how increased screen time may affect kids long-term, but many educators say they have seen negative effects.","The pandemic led to a rapid rise in screen time among kids while the vast majority of them engaged in full-time remote or hybrid learning. 
But as COVID-19 restrictions lifted and students returned to in-person instruction, the time they spent in front of screens didn't come back down as expected, according to newly released 
research supported by the National Institutes of Health and published in the journal Pediatrics
. Those elevated levels of screen time persisted for more than one year after the pandemic forced mass school building closures nationwide.",Menatal Health
BARK TECHNOLOGIES AND VILO LIVING ANNOUNCE PARTNERSHIP,news,,"[February 28, 2023] BARK TECHNOLOGIES AND VILO LIVING ANNOUNCE PARTNERSHIP

Bark's Award-Winning Parental Controls Integrated into Vilo's Mesh Wi-Fi Routers ATLANTA, Feb. 28, 2023 /PRNewswire/ -- Bark Technologies today announced a partnership with Vilo Living, the Seattle-based technology startup with a mission to make easy, affordable, and reliable Wi-Fi connectivity available to anyone through their mesh hardware and remote management solutions. This partnership will enable Vilo users to benefit from the online safety leader's parental control solutions by integrating in-home parental controls within Vilo's mesh Wi-Fi systems at no extra cost to all of Vilo's end users based in the U.",Parenting
Senate Judiciary Hearing on Kid's Privacy – Sunny with a Chance of Section 230 Reform,news,"As we've described here, the Senate made major strides last year on legislation to protect children's privacy and safety online. Indeed, two bipartisan","As we've described 
here
, the Senate made major strides last year on legislation to protect children's privacy and safety online. Indeed, two bipartisan bills sailed through a Commerce Committee 
markup
, though they didn't ultimately make it to the floor for a Senate vote. This year, kids' privacy is once again getting attention, beginning with a February 14 
Senate Judiciary Committee hearing
 on the issue. Members used the hearing to tout last year's bills and mention some new ones, too. They also touched on other top-of-mind issues involving the tech industry, such as Section 230 reform and encryption.",In Society
Tennessee Attorney General Jonathan Skrmetti Hosts Town Hall Meetings to Discuss Big Tech's Impact on Children,news,Nashville- Tennessee Attorney General Jonathan Skrmetti announced today the Attorney General's Office will host three town hall meetings across the state to,"Tennessee Attorney General Jonathan Skrmetti announced today the Attorney General's Office will host three town hall meetings across the state to discuss the impact Big Tech is having on Tennessee families, particularly children.

'Social media platforms hurt kids with products designed to be addictive and recommended content that exacerbates depression and self-harm,' General Skrmetti said. 'Tennessee is proud to be a leader in pursuing transparency and accountability for social media companies.",In Society
BARK TECHNOLOGIES AND VILO LIVING ANNOUNCE PARTNERSHIP,news,"This partnership will enable Vilo users to benefit from the online safety leader's parental control solutions by integrating in-home parental controls within Vilo's mesh Wi-Fi systems at no extra cost to all of Vilo's end users based in the U.S. Founded in 2015 by , a tech executive and father of two, Bark is known for developing highly sophisticated, AI-powered parental safety tools that include a newly launched smartphone, an app, a local network hardware device, school-specific monitoring systems, the Parenting in a Tech World book, and other educational resources that help keep 6.5 million children safe at home and in more than 3,400 schools and districts nationwide. As the first partnership to offer Bark's safety tools within a mesh Wi-Fi system available directly to consumers, the Bark/Vilo integration can help safeguard connected devices within the home, allowing parents to manage when their kids can access the internet by setting custom schedules and screen time rules.","Bark's Award-Winning Parental Controls Integrated into Vilo's Mesh Wi-Fi Routers

ATLANTA, Feb. 28, 2023 /PRNewswire/ -- Bark Technologies today announced a partnership with Vilo Living, the Seattle-based technology startup with a mission to make easy, affordable, and reliable Wi-Fi connectivity available to anyone through their mesh hardware and remote management solutions. This partnership will enable Vilo users to benefit from the online safety leader's parental control solutions by integrating in-home parental controls within Vilo's mesh Wi-Fi systems at no extra cost to all of Vilo's end users based in the U.",Parenting
YouTube accused of collecting UK children's data,news,"Duncan McCann says he has tried to explain to his own children how platforms like YouTube use their dataYouTube has been accused of collecting the viewing data of children aged under 13, in breach of…","YouTube has been accused of collecting the viewing data of children aged under 13, in breach of a UK data privacy code designed to protect children.
Campaigner Duncan McCann has lodged an official complaint with the Information Commissioner's Office (ICO).
He says the site is gathering data about the videos children watch, where they are watching and what device they are watching it on.
YouTube said it had invested in protecting families.
This included treating all children's content as though children were viewing it, even on an adult's account, it said.",In Society
"Youth's Excessive Social Media Usage May Jeopardize Mental Health, Says Dr. Drew",news,"Apparently, social media can contribute to school bullying, too!","Trisha Kae Andrada
, Tech Times 
26 February 2023, 10:02 am
 
 
 
(Photo : Rich Fury/Getty Images)
LOS ANGELES, CALIFORNIA - FEBRUARY 27: Dr. Drew Pinsky visits the SiriusXM Hollywood Studio on February 27, 2020 in Los Angeles, California.
 
 
Excessive screen time may harm young people's mental health, according to an expert who has voiced concern about the trend in the US.
 
In an episode of 
One Nation with Brian Kilmeade
 on Fox News, Kilmeade and Dr. Drew Pinsky spoke about how social media has contributed to a rise in bullying in schools.",Menatal Health
YouTube accused of collecting UK children's data,energy,The video platform faces a challenge over claims it is gathering and using the data of under-13s.,"Image caption, 
Duncan McCann says he has tried to explain to his own children how platforms like YouTube use their data
YouTube has been accused of collecting the viewing data of children aged under 13, in breach of a UK data privacy code designed to protect children.
Campaigner Duncan McCann has lodged an official complaint with the Information Commissioner's Office (ICO).
He says the site is gathering data about the videos children watch, where they are watching and what device they are watching it on.",In Society
YouTube accused of collecting UK children's data,news,The video platform faces a challenge over claims it is gathering and using the data of under-13s.,"Image caption, 
Duncan McCann says he has tried to explain to his own children how platforms like YouTube use their data
YouTube has been accused of collecting the viewing data of children aged under 13, in breach of a UK data privacy code designed to protect children.
Campaigner Duncan McCann has lodged an official complaint with the Information Commissioner's Office (ICO).
He says the site is gathering data about the videos children watch, where they are watching and what device they are watching it on.",In Society
California Bill Would Prohibit Social Media From Promoting Harmful Content to Minors,news,"A newly introduced California bill would, if passed, prohibit social media sites from promoting content that can lead ...","A newly introduced California bill would, if passed, prohibit social media sites from promoting content that can lead minors to purchase fentanyl or firearms—including ghost guns—commit suicide, develop an eating disorder, inflict harm on themselves or others, or develop an addiction to the platform.

Sen. Nancy Skinner (D-Berkeley), who introduced Senate Bill 287 earlier this month, said in a Feb. 2 statement it is designed to hold social media platforms accountable for allowing 'harmful content toward youth.",In Society
Governor Newsom Condemns Lawsuit Against AB 2273 Online Law,news,Governor Gavin Newsom released a statement on Tuesday against a court case challenging a law passed last year that was intended to protect the data and,"Governor Gavin Newsom 
released a statement
 on Tuesday against a court case challenging a law passed last year that was intended to protect the data and privacy of children online over free speech and ease of business concerns.
 
Signed into law in September 2022
 by the governor, 
AB 2273
 established the California Age-Appropriate Design Code Act. Under the law, businesses that provide an online service, product, or feature likely to be accessed by children to have high privacy levels included as default and provide privacy information, terms of service, policies, and community standards concisely and prominently for those under 18 to read.",In Society
MIND MATTERS: Technology has radically changed our lives,news,"It has been very interesting to me that in the last several months, the mental health issues that I read about the most concern children and adolescents. Remember the last","It has been very interesting to me that in the last several months, the mental health issues that I read about the most concern children and adolescents. Remember the last column that addressed childhood and adolescent overweight and obesity? Well, there are still several articles, studies and books coming out that are taking a hard look at how our kids are being affected by technology and more specifically by social media in the last decade or more, exacerbated by the COVID-19 pandemic. You also know that I love listening to podcasts, so I thought I would give you another contemporary series to listen to, one that takes a very personal look at these issues of tech and social media.",In Society
eSafety goes legal to save kids from platforms,news,"The eSafety Commissioner has served legal notices on social media giants and one of the world's largest technology companies, calling on them to demonstrate how they're keeping children safe online.…","The eSafety Commissioner
 has served legal notices on social media giants and one of the world's largest technology companies, calling on them to demonstrate how they're keeping children safe online.


eSafety Commissioner Julie Inman Grant said the notices were issued to Twitter, TikTok, Google (including YouTube), livestreaming site Twitch and online chat and instant messaging service Discord.


Ms Inman Grant said the notices were issued under Australia's new 
Basic Online Safety Expectations
, which set out the safety measures expected of technology companies to protect Australian users, particularly children, from harm.",In Society
Here's why we think the HUAWEI MatePad SE 10.4' Kids Edition is the ideal and safe tablet for your young ones for KWD 52.9 this year in Kuwait,news,"In today's digital age, children are increasingly exposed to technology from a young age. While some parents may have concerns about the effects of scre","In today's digital age, children are increasingly exposed to technology from a young age. While some parents may have concerns about the effects of screen time on their children, others see the benefits that technology can offer in terms of education, entertainment, and developing digital skills all in a safe and healthy way. Huawei recently launched a unique kids' tablet - the HUAWEI MatePad SE 10.4' Kids Edition, specifically designed for children aged 3-8 with their health, safety and education in mind.",In Society
"Disrupting the Metaverse, Web 3.0 with Robert Lanteigne",business,"Disruption Interruption podcast host and veteran communications disruptor Karla Jo Helms interviews Robert Lanteigne, an award-winning entrepreneur and founder of Sizzmic Transmedia — and learns about the potential of","Disruption Interruption podcast host and veteran communications disruptor Karla Jo Helms interviews Robert Lanteigne, an award-winning entrepreneur and founder of Sizzmic Transmedia — and learns about the potential of the metaverse to bridge younger and elder generations while providing constructive experiences for children.

TAMPA, Fla., Feb. 28, 2023 /PRNewswire-PRWeb/ -- Many young children can handle technology with more skill than their parents and grandparents, which makes monitoring their internet activity a challenge.",Parenting
Go back to school for free with these online and in-person classes,news,"If time and cost are reasons to avoid going back to school, here's a reason to reconsider: free online and local in-person classes and courses.","If time and cost are reasons to avoid going back to school, here's a reason to reconsider: free online and local in-person classes and courses. Self-paced online courses are ideal for people who prefer to learn on their own time, while in-person resources offer everything from French classes to knitting.

Clear your calendar, select your classes and commit to some educational enrichment.

For children

Swift Playgrounds. Created for users of Apple products, this app is ideal for beginners. Swift Playgrounds helps users build interactive puzzles, learn basic coding skills and advance at their own pace to bring ideas to fruition.",Education
Simone Larson: No battle Fridays,news,Pick your battles is one of my favorite teaching and parenting slogans. RoundTable columnist Simone Larson I even have something I coined no battle,"Pick your battles
 is one of my favorite teaching and parenting slogans. 




RoundTable columnist 


I even have something I coined 
no battle Friday, 
which takes place most Fridays during the school year in my classroom. It's pretty much how it sounds. 
 
On Fridays, I try my personal hardest not to engage in any battles with anyone about anything. However, there is one battle that I must pick every single time. And that is the technology battle.
 
It is my firm belief (based on inconclusive and unsubstantial [essentially nonexistent] evidence) that unfettered access to tablets and smartphones are to this generation what cigarettes were to our parents and grandparents.",In Society
Quick Gifts for Kids,news,"Holiday shopping can be stressful and overwhelming, especially when it comes to buying gifts for the kids in your life. It can be hard to think of something that won't break the bank but will still…","Holiday shopping can be stressful and overwhelming, especially when it comes to buying gifts for the kids in your life. It can be hard to think of something that won't break the bank but will still make them smile. But don't worry – we have you covered! Here are some great ideas for quick gifts that will make any kid's holiday extra special.
Headphones: Kids ALWAYS need headphones, especially now with all the technology in schools. We were able to try Tribit, which are high-tech Bluetooth Kids' Headphones.",In Society
